,,,"Pending Joborder Events List"
"Sl No.",Events,Company,Joborder,Date,"Next Action",Owner
1,Submission,"H2O COMPANY LTD","SALES EXECUTIVE",2020-12-15,,Arya
2,Submission,"Reliance Trends","Admin Executive",2020-12-15,,Arya
3,Submission,"SANROYAL BUILDERS AND CONTRACTORS PVT.LTD","Receptionist/Administration Assistant",2020-12-17,,Arya
4,Submission,"MALABAR CEMENTS LIMITED","SALES EXECUTIVE",2020-12-17,,Arya
5,"Job Order Follow-up","Neptune private Limited","FRONT OFFICE ASSISTANT",2020-12-18,"Follow-up Date = 2020-12-18, Resubmission/Follow-Up Date",Arya
6,Submission,"Starlings technologies Pvt Ltd","Admin Executive",2020-12-19,"Follow-up Date = 2020-12-18, Resubmission/Follow-Up Date",Arya
7,Submission,NEEDSTREE,"Admin Executive",2020-12-22,"Follow-up Date = 2020-12-18, Resubmission/Follow-Up Date",Arya
8,"Job Order Follow-up","friends technologies","IOS Developer",2020-12-22,"Follow-up Date = 2020-12-22, Resubmission/Follow-Up Date",Arya
